VillaId,Bookings
405,233
1300,87
5836,85
7845,84
191,82
7517,81
278,77
677,77
4409,76
1688,72
1404,71
901,70
886,69
3639,68
938,68
145,68
5770,68
12,65
68,64
2545,64
18,63
429,63
2945,63
1101,63
1838,63
2728,61
3419,61
775,60
1395,59
3305,59
5413,58
1415,58
295,57
2639,57
756,56
265,56
3986,56
2828,56
858,56
349,56
74,56
446,55
1256,55
11666,55
869,55
2886,55
2924,54
1449,54
2351,54
2585,54
11957,53
5132,53
764,53
888,53
2549,53
332,52
137,52
825,52
4574,52
1352,52
1200,52
1450,51
610,51
773,51
770,51
1227,51
2703,51
3050,51
1909,51
1489,51
3915,51
474,51
1745,51
778,51
725,50
9176,50
6555,50
61,50
3874,50
11951,50
1250,50
3010,49
1054,49
3225,49
3166,49
6645,49
1190,49
2064,49
262,49
213,49
9018,48
1464,48
4434,48
3120,48
3388,48
1100,47
6147,47
5025,47
1537,47
7425,47
802,46
13333,46
3238,46
1199,46
38,46
194,45
12150,45
4203,45
2675,45
2440,45
5188,45
1001,45
2719,45
4794,45
4719,45
1654,45
1311,44
5492,44
751,44
5722,44
5367,44
2383,44
2723,44
7676,44
3942,44
6805,44
994,44
5493,44
442,44
3913,44
6109,44
2254,43
558,43
3611,43
948,43
7456,43
370,43
7404,43
237,43
5668,42
2717,42
827,42
1276,42
1492,42
4544,42
119,42
6133,42
7328,42
6500,41
2860,41
4396,41
2990,41
5298,41
2534,41
3570,41
2100,41
5754,41
7293,41
63,41
396,41
400,41
7920,41
3408,40
4906,40
369,40
7064,40
70,40
5400,40
815,40
5726,40
2916,40
6232,40
7984,40
7227,40
13370,39
2797,39
5533,39
1804,39
1789,39
9470,39
7183,39
915,39
1013,39
1071,39
1163,39
1557,39
5709,39
3002,39
6314,38
8323,38
1663,38
868,38
2493,38
1153,38
6577,38
2515,38
1906,38
719,38
239,38
2731,38
5750,38
2741,38
337,38
324,38
4573,38
5386,38
5021,38
5333,38
1274,37
263,37
1293,37
2027,37
568,37
1269,37
2130,37
1315,37
5699,37
3342,37
1309,37
6985,37
1708,37
7380,37
1333,37
4519,37
699,37
4524,37
7730,37
2873,37
2603,37
2769,37
1160,36
7846,36
1479,36
10480,36
2236,36
2392,36
5651,36
5629,36
4990,36
2149,36
300,36
11597,36
3720,36
4849,36
633,36
1003,36
3053,36
5784,36
585,36
675,36
1027,35
5176,35
7284,35
8031,35
6045,35
5399,35
1327,35
1275,35
651,35
227,35
7026,35
1973,35
971,35
7329,35
2943,35
3148,35
392,35
1435,35
1572,35
3341,35
5018,35
7182,35
3476,35
801,35
5,35
666,34
9347,34
24,34
1636,34
5384,34
6170,34
4962,34
1710,34
2843,34
5315,34
4301,34
2692,34
148,34
5084,34
6233,34
2153,34
5823,34
2979,34
3380,34
6559,34
8631,34
530,34
855,34
3812,34
2177,34
3506,34
6078,33
126,33
7226,33
6269,33
787,33
7171,33
516,33
4747,33
5853,33
250,33
3766,33
5531,33
6050,33
11755,33
6339,33
1342,33
8127,33
3415,33
7468,33
7484,33
11492,33
5501,32
2017,32
5455,32
7697,32
4815,32
2364,32
7628,32
5669,32
4692,32
2223,32
1664,32
6015,32
5899,32
5598,32
5300,32
4609,32
2,32
1144,32
1532,32
231,32
10398,32
9602,32
8327,32
238,32
