UserId,DistinctVillas
7,3756
5173,61
19290,51
2233,46
2207,41
13547,38
34,35
22817,35
13642,32
28607,32
4250,31
7372,29
10766,29
9603,26
422,26
585,26
1034,24
13448,22
4985,21
6724,21
18009,21
15329,20
14329,20
128,19
5170,18
212,18
35277,17
24175,15
10680,15
14021,14
6658,14
1575,14
10513,13
4301,13
9184,13
14209,13
7172,13
467,13
10063,13
837,13
13062,13
12450,13
6779,12
6319,12
14222,12
20220,12
23223,12
29819,12
15279,12
2939,11
46650,11
7673,11
1299,11
24523,11
980,11
1721,11
13862,11
12285,11
22625,11
941,10
1185,10
22975,10
27031,10
10061,10
89093,10
11225,9
1386,9
27560,9
19292,9
13336,9
27820,9
9933,9
4260,9
7079,9
17252,9
660,9
54107,9
13051,9
15337,8
1486,8
7406,8
26609,8
15549,8
24649,8
140,8
26962,8
4491,8
16381,8
38055,8
12936,8
36734,8
21432,8
71162,8
17873,8
26413,8
22478,8
38865,8
17968,7
32592,7
33944,7
59412,7
9901,7
15178,7
35280,7
15228,7
40675,7
9308,7
29856,7
20225,7
7239,7
38227,7
22217,7
10331,7
191190,7
1929,7
22932,7
7326,7
14238,7
12480,7
589,7
5636,7
628,7
12984,7
13075,7
13339,7
21071,7
75136,7
9104,7
21519,7
10961,7
88330,7
31538,7
22600,7
6520,7
4656,7
14350,7
44022,7
4216,6
4143,6
21046,6
6840,6
42332,6
83972,6
4344,6
6892,6
21938,6
20720,6
35264,6
46913,6
11867,6
147986,6
12774,6
12692,6
51491,6
167496,6
37554,6
6768,6
38828,6
44517,6
44598,6
39546,6
14074,6
6683,6
43320,6
13960,6
41817,6
14207,6
79770,6
21115,6
8024,6
38,6
15194,6
42686,6
6754,6
15877,6
37978,6
28488,6
687,6
71171,6
285,6
29032,6
28880,6
9527,6
7483,6
19164,6
1352,6
25203,6
26712,6
18878,6
25679,6
18476,6
1559,6
1686,6
244,6
237961,6
19912,6
106454,5
6475,5
127070,5
12640,5
21617,5
19011,5
14195,5
5764,5
7737,5
25516,5
1128,5
45006,5
45086,5
107340,5
4980,5
21259,5
22661,5
7390,5
14335,5
8709,5
25688,5
101134,5
7982,5
42542,5
14623,5
10773,5
72586,5
42986,5
51937,5
51482,5
131053,5
23045,5
17340,5
51369,5
1492,5
72803,5
86329,5
1023,5
11031,5
22859,5
54895,5
6186,5
75110,5
49122,5
85224,5
13275,5
6310,5
13122,5
19479,5
81344,5
80811,5
19557,5
23740,5
48708,5
13361,5
802,5
137923,5
109018,5
12724,5
11397,5
45747,5
55187,5
8062,5
13632,5
141577,5
23157,5
54971,5
8931,5
928,5
5191,5
13473,5
12769,5
14425,5
42475,5
42084,5
1846,5
15432,5
9485,5
78230,5
15627,5
196068,5
27812,5
39399,5
2895,5
35070,5
78010,5
67718,5
15912,5
28586,5
16081,5
16097,5
154134,5
19962,5
2140,5
9640,5
16354,5
29303,5
3065,5
2953,5
35471,5
63096,5
78476,5
111249,5
33060,5
7101,5
21667,5
14808,5
41794,5
4277,5
4255,5
10039,5
31454,5
41525,5
15085,5
7073,5
214,5
76340,5
40921,5
9764,5
1790,5
40560,5
148735,4
12303,4
63165,4
52773,4
9768,4
66467,4
163494,4
161026,4
65114,4
63816,4
10218,4
8488,4
10185,4
66060,4
52953,4
12234,4
66587,4
11836,4
148139,4
11685,4
8149,4
53524,4
10161,4
12170,4
72052,4
53382,4
161596,4
8540,4
161908,4
52029,4
11961,4
10342,4
54554,4
68260,4
58048,4
60742,4
58105,4
9463,4
10580,4
70003,4
10905,4
58546,4
68345,4
140944,4
68425,4
59843,4
142822,4
142268,4
73865,4
58795,4
9309,4
69902,4
9177,4
10964,4
11566,4
136916,4
54689,4
138847,4
10272,4
54829,4
10314,4
67208,4
72766,4
61929,4
137250,4
70196,4
70960,4
56643,4
20956,4
61299,4
9491,4
73811,4
57635,4
60870,4
65429,4
56758,4
164247,4
27933,4
29576,4
29306,4
29149,4
17891,4
18004,4
28355,4
18069,4
27540,4
26177,4
27520,4
18238,4
26861,4
18372,4
18382,4
26541,4
18458,4
29875,4
17730,4
29980,4
17674,4
198097,4
33437,4
33361,4
17148,4
200182,4
17175,4
17230,4
17248,4
32498,4
31242,4
17475,4
30854,4
30530,4
30380,4
206326,4
26349,4
18630,4
34521,4
22662,4
23732,4
23616,4
19631,4
23542,4
23394,4
22960,4
226005,4
20041,4
26047,4
22520,4
22512,4
22479,4
20340,4
21868,4
21141,4
20887,4
23806,4
19450,4
24060,4
19358,4
25986,4
25659,4
18899,4
18999,4
25195,4
24965,4
19201,4
19205,4
19232,4
24356,4
24302,4
24274,4
24201,4
19341,4
24091,4
34021,4
16752,4
12455,4
47021,4
13055,4
169513,4
48077,4
13200,4
47818,4
47733,4
13321,4
13532,4
14035,4
46235,4
45700,4
45691,4
45470,4
13852,4
13861,4
45280,4
48648,4
48767,4
12957,4
12955,4
12507,4
51025,4
12589,4
50264,4
49802,4
12747,4
49650,4
49596,4
49559,4
167876,4
12854,4
49143,4
49091,4
12907,4
12918,4
45153,4
45005,4
16584,4
37785,4
15642,4
39386,4
188261,4
38929,4
15860,4
38573,4
37979,4
37632,4
14092,4
37052,4
36871,4
36533,4
36445,4
36418,4
36009,4
16554,4
39599,4
39669,4
15451,4
40265,4
44460,4
44406,4
44211,4
14308,4
180610,4
42984,4
42658,4
42204,4
42194,4
42069,4
184918,4
15094,4
41269,4
15312,4
40322,4
74292,4
21009,4
1522,4
133349,4
101388,4
84677,4
7062,4
124916,4
133222,4
5511,4
101198,4
92630,4
92886,4
77094,4
92956,4
93088,4
93398,4
6893,4
83743,4
83555,4
6787,4
84871,4
101601,4
132002,4
3736,4
118945,4
91085,4
75661,4
134305,4
108255,4
108456,4
75805,4
5149,4
3967,4
102392,4
5219,4
91579,4
5295,4
1081,4
101717,4
124316,4
91739,4
100206,4
3272,4
7306,4
129751,4
